ingredient_name;effectiveness_name;
Вода;Увлажнение
Циклометикон;Смягчение
Триглицериды кокосового масла;Питание
Изодецил неопентаноат;Смягчение
Глицерин растительный;Увлажнение
Жожоба масло;Питание
Андироба масло;Питание
Дикаприловый карбонат;Смягчение
Гидрогенизированные глицериды пальмоядрового масла;Питание
Арахидиловый спирт;Смягчение
Цетеариловый спирт;Смягчение
Бутиленгликоль;Увлажнение
Цетеариловый глюкозид;Улучшение текстуры
Модифицированный кукурузный крахмал;Матирование
Этиловый спирт;Антисептический эффект
Бегениловый спирт;Смягчение
Перфлюородиметилциклогексан;Улучшение текстуры
Декалин;Улучшение текстуры
Арахиновый глюкозид;Смягчение
Гидрогенизированные глицериды пальмового масла;Питание
Бойзеновой ягоды масло;Питание
Peg-30 dipolyhydroxystearate;Эмульгирование
Гидроксиэтилмоченвина;Увлажнение
Токоферилацетат;Антиоксидант
Полоксамер 188;Очищение
Аргинин;Увлажнение
Аскорбил тетерапальмитат;Антиоксидант
Полиметизиопропиловый эфир;Плёнкообразование
Натрий;—
Сульфат декстрана;Успокаивающее действие
Диазолидинилмочевина;Консервация
Bht;Антиоксидант
Динатрий эдта;Стабилизация
Метилпарабен;Консервация
Пропилпарабен;Консервация
Fragrance;Ароматизация
Сорбитол 20м (сорбит);Увлажнение
Экстракт водорослей;Успокаивающее действие
Гидроксиэтилмоченвина;Увлажнение
Бетаин;Увлажнение
Натриевая соль пирролидонкарбоновой кислоты;Увлажнение
Серин;Увлажнение
Глицин;Увлажнение
Глутаминовая кислота;Увлажнение
Аланин;Увлажнение
Лизин;Увлажнение
Треонин;Увлажнение
Пролин;Увлажнение
Кокосовый экстракт;Питание
Глицерил-8 эфиры миндального масла;Питание
Полисорбат 20 (твин 20);Эмульгирование
Отдушка парфюмерная;Ароматизация
Метилхлороизотиазолинон;Консервация
Метилизотиазолинон;Консервация
Лимонная кислота;Регуляция pH
Гексилциннамал;Ароматизация
Кумарин;Ароматизация
